"ID","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","p29","p30","p31","p32","p33","p34","p35","p36","p37","p38","p39","p40","p50"
830,91.36,89.24,89.81,91.24,91.55,94.66,98.52,101.66,104.54,109.18,114.47,114.16,111.23,107.41,104.41,101.6,96.75,99.19,99.54,100.32,102.66,99.46,95.83,93.28,90.01,87.74,89.51,89.25,89.37,90.54,94.51,95.82,97.52,98.19,95.53,91.87,90.91,91.7,92.92,92.86,97.42
831,97.07,98.1,94.43,94.01,94.08,94.31,95.31,97.85,94.12,92.96,90.81,86.88,84.14,83.91,82.68,80.28,79.59,79.28,80.11,79.45,76.48,73.78,73.02,70.12,67.4,63.83,61.15,53.5,57.38,59.84,61.66,63.86,66.36,69.59,69.45,66.67,60.77,62.3,64.45,65.38,60.77
832,99.68,102.79,103.66,104.31,105.79,109.78,112.03,112.43,112.65,112.51,109.05,105.86,103.59,100.77,98.11,95.51,93.41,89.75,85.8,83.57,82.9,86.17,88.88,91,93.4,96.36,97.57,100.32,102.67,105.12,105.48,106.19,104.61,99.46,103.04,106.99,107.1,107.84,110.08,112.11,120.51
833,106.53,106.87,109.66,112.64,117.11,119.7,121.48,126.62,128.45,131.33,133.81,136.24,139.06,137.28,136.55,137.58,140.8,143.27,142.36,143.6,139.61,139.92,139,142.96,143.91,144.32,145.81,148.97,152.08,155.43,158.54,160.73,163.86,160.72,161.46,163.65,163.26,165.94,169.94,172.89,190.95
834,102.76,105.84,108.07,110.34,112.36,113.56,116.86,119.81,124.84,126.2,123.31,122.78,120.87,118.46,115.31,110.11,111.18,111.1,108.4,106.57,106.1,110.5,112,114.71,117.72,119.75,121.05,123.67,129.09,132.97,132.32,135.22,137.75,140.43,143.72,146.33,145.46,146.96,147.47,150.92,152.19
835,105.63,103.99,101.21,97.58,98.35,101.42,105.33,108.09,109.63,109.21,101.93,102.37,101.82,95.47,97.61,97.2,96.57,97.1,99.64,99.47,100.22,99.78,96.03,93.95,96.26,98.8,99.64,100.8,99.95,99.62,102.7,104.75,105.32,101.73,97.17,93.92,91.63,89.49,87.26,87.16,87.52
836,95.37,93.76,93.51,96.35,99.87,102.76,105.57,107.72,109.23,111.65,113.66,114.69,113.13,114.71,114.03,109.59,109.56,110.18,118.86,114.13,112.63,112.83,109.43,107.65,104.06,98.74,96.54,93.65,91.14,88.07,85.79,82.76,80.35,77.08,72.6,73.79,74.62,68.63,64.32,62.59,57.6
837,97.38,97.61,88.5,91.08,93.14,95.48,97.86,100.56,103.47,105.88,104.88,110.86,107.24,104.77,102.77,100.21,97.37,92.41,91.02,92.37,91.51,95.64,96.19,98.78,100.82,103.9,103.67,106.28,107.72,107.32,102.95,102.66,102.59,102.51,102.29,101.8,103.61,102.81,106.49,108.33,84.67
838,105.22,107.51,110.34,114.32,117.22,118.75,118.27,121.67,125.82,126.55,126.59,128.99,126.44,126.64,129.14,132.23,138.83,136.18,131.72,132.45,136.27,141.43,146.85,146.8,154.2,151.82,148.35,145.82,142.39,142.34,144.54,146.32,151.26,155.2,155.86,152.55,150.11,146.48,146.69,145.5,156.42
839,100.52,101.09,98.7,96.98,94.18,90.8,89.36,86.28,83.2,79.48,78.47,78.74,74.95,70.31,68.34,65.12,64.4,64.46,61.74,61.79,59.97,63.34,62.65,63.65,64.2,67.04,69.88,74.19,78.04,81.9,85.27,89.82,89.14,88.82,93.73,94.95,98.63,100.76,103.95,106.63,109.52
840,102.75,105.48,105.34,103.29,105.97,107.85,113.6,111.39,106.75,102.99,99.44,96.71,94.54,96.84,97.51,100.93,104.07,106.18,108.18,106.96,108.53,110.45,111.23,112.08,115.16,119.63,123.64,126.75,129.29,131.08,134.09,137.33,138.27,138.53,134.34,135.31,140.07,141.05,141.16,151.46,146.11
841,90.08,86.88,83.3,80.82,79.93,76.11,73.77,70.58,69.55,68.21,61.55,58.86,55.8,53.01,49.43,47.05,47.9,51.29,51.09,51.61,48.98,46.89,43.8,39.73,36.1,33.1,27.65,24.72,24.43,26.54,27.66,29.75,29.08,30.95,22.4,18.61,12.83,13.69,18.08,15.69,0
842,93.1,95.14,97.73,102.44,101.57,101.9,101.97,100.76,102.29,97.57,98.14,94.43,90.11,86.25,85.3,82.54,80.19,78.55,74.95,72.46,70.56,67.6,63.97,62.59,62.07,59.5,56.2,51.15,50.24,50.13,50.33,50.82,48.58,49.88,51.86,54.29,55.74,54.13,52.55,53.09,46.23
843,101.88,99.71,95.89,97.79,100.92,103.97,105.27,107.84,114.81,115.38,118.05,121.96,121.08,121.37,121.08,117.67,115.34,115.13,113.81,113.87,115.13,118.75,116.05,115.78,118.21,119.02,118.17,117.81,118.83,121.82,122.32,123.57,122.78,122.62,124.4,126.02,126.47,124.54,121.54,117.85,88.73
844,92.07,92.14,95.13,98.06,100.25,101.95,103.88,102.94,104.13,104.12,101.13,98.69,95.36,90.56,88.37,83.52,80.76,78.51,77.98,74.98,72.18,71.78,67.41,59.92,56.11,49.32,51.8,50.48,50.03,52.11,54.13,54.3,56.16,59.38,62.86,66.05,68.69,71.55,71,69.86,83.21
845,103.84,108.03,111.51,113.34,113.36,114.62,105.21,101.23,99.08,95.19,93.12,95.95,95.37,91.54,87.2,84.35,80.26,80.39,81.65,85.14,87.95,89.58,92.96,99.56,95.19,92.63,93.98,93.35,93.41,93.08,93.12,99.47,96.6,96.97,91.51,88.14,84.09,73.96,77.25,79,69.42
846,94.65,93.49,91.18,86.68,83.69,80.17,80.94,81.6,82.5,86.1,88.84,88.36,88.82,83.36,87.34,93.03,92.23,91.08,87.88,88.17,88.94,91.2,94.94,99.76,104.57,106.1,109.33,111.14,113.26,116.06,116.21,114.56,112.66,105.1,108.7,112.19,113.86,121.18,118.31,114.81,121.96
847,103.37,106.8,108.86,111.72,118.02,121.73,123,126.33,123.49,123.72,123.88,128.84,125.82,126.12,126.33,126.28,126.82,126.65,126.48,124.49,131.68,126.9,124.13,121.75,120.71,119.55,116.99,114.42,110.56,106.49,105.58,99.66,101.94,104.16,107.52,109.31,112.17,116.09,115.5,112.58,102.87
848,104.64,104.33,104.22,103.72,106.37,105.53,107.1,105.34,102.84,97.69,96.95,96.98,92.58,94.99,97.76,100.88,102.89,104.17,102.79,100.84,100.67,92.28,92.2,94.48,93.21,96.57,101.18,105.18,106.92,101.68,98.51,94.91,91.66,91.93,91.8,91.52,97.64,99.71,100.68,106.77,96.67
849,94.85,95.11,104.53,100.51,97.04,95.16,91.88,90.6,91.08,90.44,91.68,87.55,84.89,85.75,89.18,89.4,86.76,87.54,83.95,78.77,77.27,73.67,72.05,71.5,74.25,73.88,72.2,69.38,66.77,64.86,66.09,67.07,66.2,65.18,68.42,72.35,75.18,75.82,76.29,80.14,60.13
850,93.37,96.34,99.32,102.11,103.05,103.84,106.54,106.75,107.02,109.57,114.4,115.88,118.56,118.05,118.43,116.3,113.56,111.44,108.67,108.09,105.21,103.33,100.06,95.84,94.67,98.61,100.77,100.05,100.87,102.86,99.48,99.59,97.31,89.84,91,94.04,96.5,99.77,102.24,104.28,109.66
851,106.95,111.17,115.05,117.95,120.61,122.89,124.35,123.52,126.36,129.16,134.26,131.55,127.99,129.52,122.98,124.65,129,124.66,120.3,120.25,114.97,114.23,114.06,107.97,112.44,115.16,118.11,117.67,116.15,113.45,112.5,106.43,109.57,115.06,116.55,119.81,120.49,121.43,118.13,115.43,100.1
852,99.29,98.09,94.84,90.19,88.95,85.17,84.6,87.78,87.24,86.04,82.81,80.7,76.03,74.09,74.48,74.23,76.89,75.84,75.58,71.36,69.12,62.41,56.86,59.7,62.48,64.51,67.45,70.14,73.36,75.52,78.99,82.17,85.19,86.7,89.66,92.23,98.45,105.9,102.6,99.75,111.22
853,95.93,95.77,99.84,103.8,108.01,109.58,109.31,110.13,110.25,109.23,110.92,113.69,113.3,113.62,115.13,116.23,116.66,113.93,111.53,109.06,108.04,106.31,106.66,106.83,103.03,101.36,104.46,108,113.04,113.11,114.32,117.65,119.22,122.14,120.46,118.58,116.03,119.51,122.67,127.46,143.15
854,87.12,89.48,93.43,93.03,96.64,101.46,104.92,110.22,111.96,112.87,116.25,115.56,117.4,119.76,122.06,124.72,127.13,129.35,126.77,126.26,126.64,123.23,122.84,120.1,119.59,122.78,123.64,129.03,126.56,123.62,124.6,122.5,118.75,117.21,116.97,119.24,122.17,122.78,125.97,129.61,137.57
855,98.83,97.21,94.06,92.35,92.13,85.95,88.41,89.55,92.54,95.03,97.93,108.32,105.07,105.27,108.66,111.9,111.89,110.42,112.91,119.27,119.01,119.72,122.71,126.95,128.54,128.48,126.24,122.54,123.68,123.36,125.48,128.4,131.83,135.89,138.36,142.02,146.03,151.49,149.23,149.91,160.76
856,104.94,107.49,112.72,114.46,116.34,116.12,116.64,114.55,111.46,110.69,108.47,106.77,105.84,107.16,106.38,106.19,104.74,105.21,105.38,105.5,107.5,112.03,112.55,114.57,116.91,119.45,122.54,122.37,121.07,123.14,126.78,127.76,124.93,125.07,128.13,130.07,131.63,133.85,139.31,135.32,135.84
857,104.26,107.33,110.36,110.08,113.79,116.33,123.36,124.34,126.35,130.49,132.94,135.02,138,138.02,139.49,140,139.06,141.7,144.66,145.78,144.01,148.58,145.03,142.31,141.05,136.99,134.56,132.41,130.38,134.05,133.63,128.57,126.6,122.04,122.28,121.45,117.59,108.45,110.2,108.9,89.44
858,89.93,90.76,92.07,92.45,96.45,96.09,95.25,96.15,94.46,95.37,97.8,99.87,100.58,94.72,97.86,97.8,96.91,96.03,99.78,103.24,103.13,98.54,95.15,91.72,90.04,85.55,81.77,79.74,75.91,73.67,69.38,68.04,60.13,63.72,66.01,68.39,68.47,67.22,67.26,68.62,72.1
859,87.67,83.46,85.06,83.2,83.62,80.87,77.87,74.91,72.31,69.15,67.19,64.44,63.03,58.49,52.85,55.88,59.37,64.66,67.66,69.4,71,71.08,66.85,70.02,73.47,75.27,78.24,82.3,83.26,83.46,80.49,80.83,80.9,81.13,86.04,81.15,80.15,81.52,91.49,93.81,119.37
860,105.07,100.72,96.67,91.8,88.25,83.85,81.22,77.75,75.41,74.97,70.84,67.32,68.79,64.12,63.52,63.48,65.68,68.74,71.3,73.01,76.21,78.77,79.57,82.29,84.88,87.3,88.72,91.84,92.1,90.98,91.97,91,90.61,90.42,90.43,92.1,89.34,89.26,86.1,86.96,95.92
861,108.08,108.66,111.43,113.6,116.93,116.61,123.34,121.43,118.68,117.65,114.58,114.28,111.33,109.38,111.65,111.05,107.34,106.43,103.01,102.77,102.82,105.64,108.79,111.16,114.23,118.04,115.38,115.01,110.63,106.53,107.55,110.37,111.92,115.25,117.95,122.51,124.89,127.98,128.63,130.59,160.83
862,98.25,100.49,102.23,98.9,101.74,101.33,102.71,102.53,107.57,104.75,103.94,105.93,108.67,111.68,113.66,109.81,107.2,102.17,105.27,106.93,109.31,112.81,113.71,115.56,118.27,119.33,112.51,115.65,119.59,123.32,125.47,128.29,129.46,129.34,135.2,132.53,129.88,128.97,125.25,123.19,112
863,106.82,105.28,102.19,99.18,99.26,94.4,91.8,88.64,88.37,88.58,89.2,92.71,95.73,95.47,95.52,99.27,100.66,103.92,106.25,107.34,108.25,113.28,111.75,108.94,105.77,103.77,98.97,95.9,92.87,90.69,90.09,91.53,89.34,89.54,90.53,91.62,90.66,88.27,88.33,90.84,92.9
864,95.07,94.86,93.54,90.72,91.01,86.94,83.69,88.7,91.27,95.86,98.71,101.82,105.8,109.51,114.71,117.22,122.05,125.1,127.68,129.68,129,136.1,132.73,129.5,133.65,134.84,137.61,140.49,142.4,146.06,149.35,150.33,153.65,154.75,154.74,159.18,163.34,161.16,158.35,153.71,150.34
865,100.63,100.65,101.33,101.48,100.87,96.81,93.76,89.53,89.51,90.04,86.33,82.51,85.13,85.6,82.25,80.72,77.3,75.21,77.81,76.43,80.71,83.66,88.19,88.13,87.58,86.34,90.91,93.47,95.38,95.23,96.18,91.12,88.72,87.19,88.02,89.12,92.09,90.53,92.52,93.41,109.23
866,108.1,108.11,111.89,109.13,105.13,105.57,107.15,103.07,98.97,99.65,100.13,100.87,100.1,101.71,102.62,102.42,100.17,102.51,101.92,99.07,99.78,96.67,94.53,92.13,90.09,90.86,92.47,95.97,97.51,96.88,96.38,105.31,109.21,113.31,114.86,117.32,119.45,119.74,119.18,118.55,124.09
867,96.54,95.89,104.74,102.66,100.13,99.08,101.4,105.13,109.01,107.73,110.06,112.83,115.07,117.81,120.51,121.59,122.14,122.97,127.99,124.75,122.99,118.97,115.61,113.06,110.71,107.01,102.23,100.18,100.08,100.19,100.78,104.68,102.11,90.57,85.19,82.15,80.19,76.54,75.78,71.74,66.65
868,93.98,89.91,87.79,84.66,81.08,81.39,84.24,86.73,87.42,85.05,83.81,78.51,76.33,72.32,71.68,71.48,74.17,77.18,80.51,83.83,84.41,79.13,75.82,76.84,72.09,71.98,71.43,70.87,73.9,76.01,75.3,76.28,81.34,78.36,74,70.31,67.31,67.45,67.65,64.26,52.62
869,101.77,93.08,96.42,98.45,100.42,103.18,103.25,104.92,108.68,112.52,113.94,112.13,109.58,102.34,98.4,101.39,105.1,101.85,99.98,100.26,100.94,96.95,94.87,92.34,88.97,80.44,83.49,83.03,84.21,84.05,84.97,82.03,80.31,77.9,73.93,70.79,66.81,63.88,61.47,62.24,39.91
870,94.99,93.52,90.87,91.09,87.45,83.9,81.47,83.38,88.47,86.36,81.97,83.01,85.49,86.66,88.37,85.07,82.61,78.22,76.25,76.42,74.05,71.74,68.9,66.78,64.17,58.01,55.03,50.63,48.21,46.31,47.3,45.7,44.25,43.93,44.58,44.84,43.25,40.4,37.81,37.66,34.09
871,91.53,90.03,85.95,79.02,81.1,83.28,85.74,89.7,92.47,96.1,100.08,101.54,103.89,106.37,105.66,102.87,98.87,96.18,92.51,88.93,87.4,88.93,86.47,84.7,81.78,73.36,75.25,78.55,83.85,86.46,90.14,91.47,93.51,95.82,99.76,100.55,102.76,102.13,103.71,104.03,68.18
872,105.55,107.54,106.85,104.42,100.9,95.47,91.71,89.01,84.99,80.91,81.16,81.36,82.91,79.46,75.86,73.29,72.87,73.25,71.03,73.93,76.01,77.62,80.21,75.44,69.66,70.16,67.44,63.79,60.68,60.74,64.25,67.41,67.74,67.47,64.2,62.39,59.48,55.04,52.14,45.06,32.76
873,106.9,103.71,100.02,100.35,97.68,93.63,92.92,92.96,90.18,89.26,89.12,89.86,86.36,88.41,91.56,93.23,95.97,97.35,100.6,102.64,108.16,104.57,101.48,99.72,95.36,91.31,88.39,84.78,80.18,76.33,72.51,73.82,74.13,75.16,77.58,80.56,82.71,84.1,87.48,87.11,80.77
874,108.87,110.79,115.01,114.63,111.21,107.61,105.86,103.81,101.2,99.42,96.66,97.19,100.39,104.7,108.06,110.7,112.33,116.13,120.86,124.93,128.75,133.06,133.59,133.86,131.67,129.3,130.84,132.42,130.66,128.02,125.26,122.04,122.31,124.05,127.28,130.84,134.49,142.03,152.93,150.54,149.32
875,106.71,106.24,106.51,110.73,112.18,115.48,117.52,119.25,121.96,122.41,118.58,116.55,113.8,111.82,107.18,103.68,103.66,101.58,100.46,98.24,94.76,92.06,89.83,86.17,88.62,87.64,90.73,95.18,98.71,95.22,90.83,91.4,87.68,86.24,83.22,81.31,77.49,74.87,72.59,70.91,81.15
876,98.03,97.01,103.94,103.12,103.96,103.14,102.57,101.59,99.45,94.1,96.85,96.81,97.63,96.95,96.2,94.14,91.29,85.11,85.93,86.52,84.1,80.77,77.32,77.26,76.26,76.31,76.79,75.97,77.13,75.82,72.97,73.39,72.03,67.92,70.73,73.12,72.62,72.11,73.02,74.03,66.7
877,92.79,95.98,97.09,96.09,92.76,94.98,95.39,98.75,100.61,106.91,103.55,101.48,103.19,106.1,105.8,106.6,108.96,112.97,117.35,122.35,131.11,126.51,129.2,132.33,135.18,135.1,136.94,138.63,139.31,140.34,142.67,146.46,149.35,153.66,156.13,160.56,163.32,166.63,169.41,172.09,171.85
878,109.99,109.75,114.54,122.82,127.21,123.1,119.09,113.76,109.93,106.95,104.14,99.38,94.58,90.64,89.24,88.34,89.39,92.9,93.2,98.83,101.07,104.92,105.16,107.56,110.51,114.04,117.21,121.04,124.02,127.7,128.78,127.44,126.9,124.37,125.13,125.8,128.62,128.21,129.35,129.41,110.04
879,101.58,103.63,106.36,109.85,117,119.94,120.69,124.25,128.84,132.04,131.73,124.04,127.13,129.61,132.63,135.11,138.32,137.3,134.03,128.66,131.71,132.69,135.99,138.77,143.25,146.71,146.17,150.28,155.7,159.11,163.33,163.11,156.54,160.42,163.83,163.33,158.59,158.75,149.95,151.58,167.57
880,98.5,98.5,105.74,102.85,100.27,98.27,98.65,98.37,94.57,90.77,87.84,85.03,81.97,81.28,79.74,78.53,75.17,71.4,72.4,74.58,76.52,80.35,84.35,86.21,88.61,93.72,96.31,99.09,101.95,105.91,107.88,110.66,114.08,117.72,118.87,119.57,118.64,118.57,118.89,115.26,104.05
881,91.56,89.79,88.33,84.44,82.41,79.1,78.72,80.46,82.45,84.84,86.09,88.56,90.26,89.69,88.66,89.4,90.37,89.73,96.45,102.38,100.04,99.58,103.4,106.21,108.04,111.77,115.38,118.68,120.61,126.85,124.18,120.82,118.06,113.93,113.5,109.92,110.43,109.61,107.54,104.63,72.09
882,96.08,99.67,103.09,101.9,97.64,97.21,98.51,97.73,95.04,92.24,95.87,98.8,98.22,95.01,91.61,93.03,87.95,90.23,90.21,93.24,98.8,94.17,88.99,87.92,90.64,93.05,93.18,94,95.31,98.24,106.79,103.71,98.92,92.36,93.83,96.55,99.05,103.59,99.5,99.46,112.24
883,89.71,92.32,91.99,88.45,85.01,83.53,83.19,82.56,77.85,74.4,71.19,67.84,63.66,60.5,56.46,52.06,48.28,48.68,46.93,49.06,49.38,49.43,50.31,51.86,51.73,51.67,46.74,44.34,44.95,46.65,50.03,54.69,51.38,48.28,46.58,43.71,40.22,36.19,38.54,42.06,62.24
884,94.64,95.06,98.16,101.58,104.03,105.78,109.94,111.67,108.37,104.63,101.33,98.33,96.34,92.27,89.54,86.38,87.49,86.63,84.94,82.13,78.27,75.48,73.05,74.64,70.93,69.05,64.86,62.46,62.22,67.81,73.65,70.23,71.97,72.18,72.21,67.96,64.89,60.37,59.23,57.35,56.19
885,109.28,106.32,103.98,101.86,101.29,104.14,106.74,110.29,112.51,115.82,118.05,121.09,123.41,125.45,124.74,124.69,120.32,116.86,113.22,113.59,117.83,118.38,119.3,123.73,122.31,125,125.37,131.73,128.63,124.86,123.78,123.79,123.36,122.32,124.01,123.59,126.37,128.14,131.57,134.37,111.92
886,94.46,97.07,101.34,101.66,95.74,98.86,108.07,111,107.7,105.09,103.45,104.89,101.08,97.02,96.58,96.36,96.84,95.69,95.23,94.42,93.76,90.5,86.21,82.69,80.51,83.11,82.93,77.77,77.11,74.6,74.77,72.97,70.5,70.6,73.16,76.07,74.91,73.14,71.28,68.91,74.83
887,98.86,101.92,104.09,105.38,108.74,111.81,114.79,118.88,120.62,122.6,125.25,126.85,132.36,128.86,125.65,124.35,124.24,127.79,127.46,126.79,125.06,124.71,125,126.68,127.88,129.53,129.56,129.14,127.52,126.92,129.39,132.41,131.27,131.07,135.83,136.17,133.45,129.82,126.69,129.11,105.73
888,96.86,96.55,95.61,94.69,91.45,83.41,84.73,88.29,87.99,85.33,81.3,78.76,75.05,73.64,71.16,71.03,70.14,76.41,83.7,79.6,71.82,74.6,74.65,72.69,75.63,77.82,81,80.78,77.94,75.82,77.23,77.2,82.34,79.21,76.87,74.35,71.53,68.74,65.93,61.11,36.51
889,102.84,105.8,106.94,108.58,110.54,114.93,117.63,120.87,123.93,127.03,129.97,133.07,133.6,134.14,133.81,134.99,132.7,131.52,131.98,133.14,132.81,130.25,131.45,128.72,126.23,128.42,127.52,127.45,128.14,127.65,130.9,134.1,136.83,140.45,142.37,142,145.7,143.6,139.46,136.6,134.88
890,105.09,106.5,105.47,107.74,109.37,116.53,119.59,122.65,123.97,125.91,128.24,131.19,132.19,131.52,123.28,126.83,128.81,131.44,135.17,138.77,138.93,141.05,145.12,146.58,145.83,142.82,139,137.08,134.65,130.91,127.79,125.69,122.39,123.98,124.55,127.72,128.96,131.19,133.54,132.51,119.95
891,99.63,102.75,107.47,109.31,109.59,108.83,108.17,103.23,98.69,93.62,94.97,95.72,96.8,100.08,102.83,102.64,102.32,102.1,101.93,104.5,106.73,110.36,112.99,115.3,118.52,118.79,118.95,120.34,126.5,122.89,123.14,123.18,126.13,129.8,131.24,130.53,132.97,132.23,129.16,128.13,129.5
892,98.74,102.68,106.39,108.56,108.62,109.93,110.02,107.96,108.1,110.36,112.17,114.34,112.73,112.1,113.73,110.53,109.59,109.63,109.6,110.8,105.99,98.83,101.73,104.46,106.76,109.9,109.01,105.71,106.89,111.08,111.99,112.15,112.92,114.49,116.85,117.66,116.93,116.08,111.86,108.97,83.97
893,101.05,101.08,101.24,96.58,94.58,91.71,91.95,93.37,93.3,93.8,93.62,95.12,96.02,98.01,100.03,103.28,105.84,107.93,109.11,111.64,113.79,113.7,113.98,116.23,119.63,117.47,117.64,119.85,122.04,123.59,125.46,130.12,129.18,127.41,123.91,114.83,119.5,122.97,126.56,131.45,145.67
894,106.32,101.81,98.72,92.27,89.16,86.3,81.63,83.72,86.25,87.73,91.52,95.51,98.14,100.64,103.5,106.38,105.74,105.33,108.05,110.48,114.04,117.86,117.67,119.93,116.16,113.61,111.96,111.25,111.14,109,107.1,104.32,104.68,111.13,107.56,104.21,102.94,98.94,101.79,100.68,77.01
895,107.46,107.51,108.44,110.75,111.7,108.76,107.62,106.19,103.51,102.38,101.47,101.88,103.84,100.28,98.46,95.51,93.59,92.55,89.52,90.35,87.63,87.61,91.09,92.39,99.36,96.33,94.16,90.93,89.97,86.58,83.94,85.27,86.05,87.04,87.95,86.24,83.88,82.52,84.2,86.13,73.61
896,94.42,97.76,98.42,101.33,103.91,108.85,111.33,114.65,117.58,118.06,118.17,111.53,111.88,114.2,116.52,117.08,118.39,110.57,114.53,115.65,116.46,107.15,110.42,112.28,114.55,118.04,120.45,120.66,123.93,119.35,116.21,114.36,110.39,106.09,106.98,109.07,105.02,102.2,99.5,96.71,124.56
897,97.41,95.75,92.03,90.91,88.74,85.86,84.53,81.11,76.06,75.78,72.41,71.8,71.52,65.52,67.62,69.21,70.58,71.1,73.26,75.68,78.84,83.89,85.9,85.63,82.87,79.43,76.53,73.27,71.77,72.29,74.71,76.19,79.22,78.67,76.83,73.96,75.96,75.58,74.83,76.25,77.51
898,107.56,107.55,107.61,116.4,115.13,114.3,111.82,109.67,106.52,98.94,102.8,105.13,106.78,107.52,107.6,112.65,111.73,113.4,113.52,118.11,117.73,119.03,116.94,114.32,112.11,108.98,107.27,106.15,104.88,103.33,101.37,98.76,96.48,94.01,91.94,91.06,92.44,93.79,93.87,93.55,113.08
899,94.53,92.64,89.84,86.61,87.84,84.29,80.38,78.88,82.5,84.44,85.9,85.1,84.03,84.66,85.4,85.4,85.98,86.05,93.94,89.52,87.22,85.62,83.53,81.01,80.89,81.07,80.58,78.01,79.72,79.48,81.28,83.32,86.56,90.31,91.29,93.48,98.23,96,91.08,94.91,104.44
900,108.29,108.03,108.79,110.07,110.8,112.31,109.88,108.02,109.13,109.17,106.72,107.81,108.5,111.49,114.91,121,119.13,117.69,114.89,113.97,111.5,109.15,109.83,109.37,106.15,102.51,103.21,103.65,104.83,105.87,109.99,112.36,115.35,115.12,118.6,118.79,120.91,124.05,127.66,131.06,132.35
901,90.92,89.47,91.97,93.12,95.23,96.75,96.61,97.29,97.72,98.45,99.59,102.15,105.5,107.46,109.09,99.27,100.96,103.29,103.84,106.21,106.25,103.71,103.65,102.53,107.47,106.36,103.26,101.44,99.65,94.8,99.72,100.63,100.59,98.56,99.35,100.86,103.47,107.18,108.14,112.21,107.93
902,106.37,110.25,113.11,116.35,118.79,122.34,124.6,126.03,128.55,130.06,130.33,130.32,130.19,127.24,122.29,115.58,118.53,121.1,126.06,128.05,125.84,131.47,129.74,130.37,132.02,130.91,125.66,121.75,120.74,116.68,113.33,114.16,116.79,119.68,124.83,128.04,130.96,133.77,137.43,141.83,146.41
903,102.41,104.83,109.58,112.28,111.08,114.63,118.25,115.63,110.12,106.26,106.62,103.72,100.22,97.28,93.79,93.59,89.44,89.23,91.3,87.3,85.79,83.47,80.9,77.49,74.61,71.4,68.43,68.44,64.65,61.88,60.04,57.4,51.4,54.18,53.16,49.54,46.47,48.05,45.49,41.06,25.6
904,109.4,110.28,106.98,103.34,100.11,98.38,98.02,100.56,101.54,97.96,94.36,90.69,89.45,88.77,87.99,87.14,86.67,87.87,87.51,84.3,80.98,77.12,76.12,71.89,67.76,63.24,62.36,67.12,64.03,64.67,64.64,64.65,63.44,58.8,60.17,59.57,58.88,52.78,51.64,48.75,46.23
905,103.6,100.89,95.63,93.48,90.77,87.7,84.8,82.9,77.65,74.32,72.01,68.85,66.5,62.79,59.8,56.56,53.55,50.06,42.62,46.75,50.48,55.35,52.61,52.05,53.92,57.06,57.62,59.89,62.54,64.94,67.98,67.11,67.05,66.32,66.1,69.83,71.16,69.99,70.89,71.39,87.84
906,92.08,89.78,86.93,89.06,91.18,93.21,96.99,99.13,102.05,100.9,99.37,99.9,94.31,94.47,93.21,91.32,89.47,86.61,83.28,80.03,75.09,70.95,67.09,68.4,68.41,62.93,65.87,69.5,72.09,73.28,67.19,69.69,68.67,67.37,67.69,57.11,58.37,59.05,58.28,55.15,56.88
907,102.64,103.33,94.69,98.49,103.87,104.94,105.12,106.45,106.28,105.38,103.09,99.5,97.13,95.34,96.67,97.12,97,89.71,93.76,96.68,98.95,99.9,100.21,99.22,100.55,101.21,98.03,95.27,93.69,90.83,92.12,95.17,99.02,101.03,104.13,108.59,105.51,105.83,102.49,100.89,102.98
908,98.84,98.96,95.3,92.08,88.69,85.98,84.32,80.29,76.44,75.66,71.08,69.29,65.7,62.72,63.32,57.67,60.39,63.4,67.5,69.87,72.97,79.7,75.75,73.33,70.66,65.86,65.64,66.12,65.84,70.5,72.89,70.12,67.29,67.72,62.49,63.76,63.53,63.73,63.3,67.49,67.39
909,106,106.34,108.39,107.04,102.65,101.29,105.28,107.05,110.76,113.3,116.72,120.53,125.49,126.75,128.95,129.59,131.7,134.96,134.55,136.69,137.03,140.26,143.18,149.29,145.82,143.33,140.33,136.61,137.78,135.75,133.16,130.17,127.92,123.38,120.8,117.33,114.37,112.27,105.24,108.23,96.18
910,108.92,111.79,117.62,120.78,122.87,126.88,126.68,125.38,128.27,132.26,136.1,137.86,138.86,141.75,144.59,147.29,148.91,145.93,144.12,143.64,142.37,145.59,147.3,146.77,146.07,146.4,145.82,147.01,152.54,148.72,145.77,142.65,143.7,146.39,148.51,150.27,154.2,156.9,158.67,162.99,189.81
911,107.91,107.15,109.03,106.75,104.36,101.99,101.92,101.4,98.94,96.39,92.33,92.21,91.51,88.6,85.67,84.56,87.49,90.3,93.58,95.71,98.31,101.5,102.02,103.35,102.54,104.44,108.9,112.14,113.65,117.96,117.8,109.36,111.28,112.57,111.34,111.95,117.12,117.8,117.75,119.9,119
912,109.02,109.44,108.71,115.08,123.19,119.68,116.65,114.15,110.16,107.28,104.26,101.4,99.03,96.43,94.08,88.81,86.3,87.35,87,86.57,86.92,86.16,82.65,79.89,79.88,80,80.14,79.76,79.01,86.29,89.35,88.05,84.89,82.11,82.2,84.37,84.61,80.96,80.05,85.95,96.58
